JIRA_ISSUE_ID,JIRA_ISSUE_KEY
48231,EM-16
25494,ANLYT-26
109614,CD-8
26386,ANLYT-45
112271,BUAPP-55341
27794,BUDES-287
62774,IMP-2175
82368,ABU-129
75477,BUAPP-36023
72499,CEL2-31
35845,BUW-2
86950,CEL2-215
83759,CCPFB-95
46071,HRITHELP-70
46153,HRITHELP-75
19908,DM-204
27354,NOP-16
105323,DATAOPS-931
75531,BUAPP-36066
74811,MOPS-595
19903,DM-199
53967,PS-3
53988,DG-3
118515,RH-428
118050,PIA-154
23255,DMCL-37
52824,HRITHELP-223
111353,CD-78
25300,DM-616
20191,
21576,
21495,
21129,
23837,WAF-29
93991,BUAPP-45728
98888,RDATA-12
72592,HRITHELP-550
121134,HRIX-85
109667,CD-28
95722,MOPS-1279
50684,HRITHELP-179
81463,ABU-42
81459,ABU-38
54770,DM-653
50405,RVOPS-48
146887,PIA-550
146488,BUAPP-69215
84694,CEL2-194
17416,ANARC-147
12838,ANARC-63
50242,RVOPS-44
65436,BUAPP-30328
57427,RVOPS-181
57992,RVOPS-193
100448,BUAPP-49429
88445,BUAPP-43269
79258,MOPS-717
130233,BUAPP-62803
81431,HRITHELP-710
49986,RVOPS-23
91135,CEL2-262
24755,BUDES-225
25881,ANLYT-31
80092,BUAPP-38555
58736,RH-2
41598,CJ-2
13366,ANARC-60
16901,ANARC-114
99746,BUAPP-49033
46817,BUW-288
21818,DMCL-19
65020,IMP-2788
