fct_name,column_name,id_to_exclude,comment
fct_chained_views_dependencies,child,stg_sfdc__opportunities_snapshot,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,member_engagement_events,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt__whole_person_subdimension_scores,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_events__engaged_resource,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_session_inferred_call_quality,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,fact_session,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,fact_coach_network_daily_snapshot,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,sfdc_contacts_global_roles,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dei_coaches,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt__reference_population_persisted_construct_scores,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dim_contract,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,fact_construct_scores,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_opportunity_by_day,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_features__group_coaching_minutes,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,stg_app__product_subscriptions,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_coach_payments_local_currency,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,star_coach_payment,excluding models created prior to implementing dbt_project_evaluator
